corrupted file!
s5p_l2_ch4_0017_06614.nc 2019-01-22 14:55:15
s5p_l2_ch4_0017_06626.nc 2019-01-23 11:13:17
s5p_l2_ch4_0017_06627.nc 2019-01-23 12:54:47
s5p_l2_ch4_0017_06628.nc 2019-01-23 14:30:10
s5p_l2_ch4_0017_06640.nc 2019-01-24 10:54:19
s5p_l2_ch4_0017_06641.nc 2019-01-24 12:35:50
s5p_l2_ch4_0017_06642.nc 2019-01-24 14:17:20
s5p_l2_ch4_0017_06654.nc 2019-01-25 10:35:22
s5p_l2_ch4_0017_06655.nc 2019-01-25 12:16:52
s5p_l2_ch4_0017_06656.nc 2019-01-25 13:58:22
s5p_l2_ch4_0017_06668.nc 2019-01-26 10:16:24
s5p_l2_ch4_0017_06669.nc 2019-01-26 11:57:54
s5p_l2_ch4_0017_06670.nc 2019-01-26 13:39:24
s5p_l2_ch4_0017_06683.nc 2019-01-27 11:38:57
s5p_l2_ch4_0017_06684.nc 2019-01-27 13:20:27
s5p_l2_ch4_0017_06697.nc 2019-01-28 11:19:59
s5p_l2_ch4_0017_06698.nc 2019-01-28 13:01:29
s5p_l2_ch4_0017_06699.nc 2019-01-28 14:43:00
s5p_l2_ch4_0017_06711.nc 2019-01-29 11:01:02
s5p_l2_ch4_0017_06712.nc 2019-01-29 12:42:32
s5p_l2_ch4_0017_06713.nc 2019-01-29 14:24:02
s5p_l2_ch4_0017_06725.nc 2019-01-30 10:42:04
s5p_l2_ch4_0017_06726.nc 2019-01-30 12:23:35
s5p_l2_ch4_0017_06727.nc 2019-01-30 14:05:05
s5p_l2_ch4_0017_06739.nc 2019-01-31 10:23:08
s5p_l2_ch4_0017_06740.nc 2019-01-31 12:04:38
s5p_l2_ch4_0017_06741.nc 2019-01-31 13:46:08
s5p_l2_ch4_0017_06753.nc 2019-02-01 10:04:11
s5p_l2_ch4_0017_06755.nc 2019-02-01 13:27:11
s5p_l2_ch4_0017_06768.nc 2019-02-02 11:26:43
s5p_l2_ch4_0017_06769.nc 2019-02-02 13:08:14
s5p_l2_ch4_0017_06770.nc 2019-02-02 14:49:44
s5p_l2_ch4_0017_06782.nc 2019-02-03 11:07:47
s5p_l2_ch4_0017_06783.nc 2019-02-03 12:49:17
s5p_l2_ch4_0017_06784.nc 2019-02-03 14:30:47
s5p_l2_ch4_0017_06796.nc 2019-02-04 10:48:50
s5p_l2_ch4_0017_06797.nc 2019-02-04 12:30:20
s5p_l2_ch4_0017_06798.nc 2019-02-04 14:11:51
s5p_l2_ch4_0017_06810.nc 2019-02-05 10:29:53
s5p_l2_ch4_0017_06811.nc 2019-02-05 12:11:24
s5p_l2_ch4_0017_06812.nc 2019-02-05 13:52:54
s5p_l2_ch4_0017_06824.nc 2019-02-06 10:10:57
s5p_l2_ch4_0017_06825.nc 2019-02-06 11:52:27
s5p_l2_ch4_0017_06826.nc 2019-02-06 13:33:57
s5p_l2_ch4_0017_06839.nc 2019-02-07 11:33:31
s5p_l2_ch4_0017_06840.nc 2019-02-07 13:15:00
s5p_l2_ch4_0017_06841.nc 2019-02-07 14:56:31
s5p_l2_ch4_0017_06853.nc 2019-02-08 11:08:27
s5p_l2_ch4_0017_06854.nc 2019-02-08 12:56:04
s5p_l2_ch4_0017_06855.nc 2019-02-08 14:37:35
s5p_l2_ch4_0017_06867.nc 2019-02-09 10:55:38
s5p_l2_ch4_0017_06868.nc 2019-02-09 12:31:01
s5p_l2_ch4_0017_06869.nc 2019-02-09 14:12:30
s5p_l2_ch4_0017_06881.nc 2019-02-10 10:36:42
s5p_l2_ch4_0017_06882.nc 2019-02-10 12:18:12
s5p_l2_ch4_0017_06883.nc 2019-02-10 13:53:35
s5p_l2_ch4_0017_06895.nc 2019-02-11 10:17:46
s5p_l2_ch4_0017_06896.nc 2019-02-11 11:59:15
s5p_l2_ch4_0017_06897.nc 2019-02-11 13:40:46
s5p_l2_ch4_0017_06910.nc 2019-02-12 11:40:19
s5p_l2_ch4_0017_06911.nc 2019-02-12 13:21:49
s5p_l2_ch4_0017_06924.nc 2019-02-13 11:21:23
s5p_l2_ch4_0017_06925.nc 2019-02-13 13:02:53
s5p_l2_ch4_0017_06926.nc 2019-02-13 14:44:24
s5p_l2_ch4_0017_06938.nc 2019-02-14 11:02:27
s5p_l2_ch4_0017_06939.nc 2019-02-14 12:43:57
s5p_l2_ch4_0017_06940.nc 2019-02-14 14:25:27
s5p_l2_ch4_0017_06952.nc 2019-02-15 10:43:30
s5p_l2_ch4_0017_06953.nc 2019-02-15 12:25:01
s5p_l2_ch4_0017_06954.nc 2019-02-15 14:06:31
s5p_l2_ch4_0017_06966.nc 2019-02-16 10:24:35
s5p_l2_ch4_0017_06967.nc 2019-02-16 12:06:05
s5p_l2_ch4_0017_06968.nc 2019-02-16 13:47:36
s5p_l2_ch4_0017_06980.nc 2019-02-17 10:05:39
s5p_l2_ch4_0017_06981.nc 2019-02-17 11:47:09
s5p_l2_ch4_0017_06982.nc 2019-02-17 13:28:39
s5p_l2_ch4_0017_06995.nc 2019-02-18 11:28:14
s5p_l2_ch4_0017_06996.nc 2019-02-18 13:09:44
s5p_l2_ch4_0017_06997.nc 2019-02-18 14:51:14
s5p_l2_ch4_0017_07009.nc 2019-02-19 11:09:18
s5p_l2_ch4_0017_07010.nc 2019-02-19 12:50:48
s5p_l2_ch4_0017_07011.nc 2019-02-19 14:32:18
s5p_l2_ch4_0017_07023.nc 2019-02-20 10:50:22
s5p_l2_ch4_0017_07024.nc 2019-02-20 12:31:52
s5p_l2_ch4_0017_07025.nc 2019-02-20 14:13:22
s5p_l2_ch4_0017_07037.nc 2019-02-21 10:31:26
s5p_l2_ch4_0017_07038.nc 2019-02-21 12:12:57
s5p_l2_ch4_0017_07039.nc 2019-02-21 13:54:27
s5p_l2_ch4_0017_07051.nc 2019-02-22 10:12:31
s5p_l2_ch4_0017_07052.nc 2019-02-22 11:54:01
s5p_l2_ch4_0017_07053.nc 2019-02-22 13:35:32
s5p_l2_ch4_0017_07066.nc 2019-02-23 11:35:06
s5p_l2_ch4_0017_07067.nc 2019-02-23 13:16:36
s5p_l2_ch4_0017_07068.nc 2019-02-23 14:58:06
s5p_l2_ch4_0017_07080.nc 2019-02-24 11:16:10
s5p_l2_ch4_0017_07081.nc 2019-02-24 12:57:40
s5p_l2_ch4_0017_07082.nc 2019-02-24 14:39:11
s5p_l2_ch4_0017_07094.nc 2019-02-25 10:57:14
s5p_l2_ch4_0017_07095.nc 2019-02-25 12:38:45
s5p_l2_ch4_0017_07096.nc 2019-02-25 14:20:15
s5p_l2_ch4_0017_07108.nc 2019-02-26 10:32:12
s5p_l2_ch4_0017_07109.nc 2019-02-26 12:19:49
s5p_l2_ch4_0017_07110.nc 2019-02-26 14:01:20
s5p_l2_ch4_0017_07122.nc 2019-02-27 10:19:24
s5p_l2_ch4_0017_07123.nc 2019-02-27 11:54:47
s5p_l2_ch4_0017_07124.nc 2019-02-27 13:42:25
s5p_l2_ch4_0017_07136.nc 2019-02-28 10:00:28
s5p_l2_ch4_0017_07137.nc 2019-02-28 11:41:58
s5p_l2_ch4_0017_07138.nc 2019-02-28 13:17:22
s5p_l2_ch4_0017_07139.nc 2019-02-28 14:58:52
s5p_l2_ch4_0017_07151.nc 2019-03-01 11:23:03
s5p_l2_ch4_0017_07152.nc 2019-03-01 13:04:34
s5p_l2_ch4_0017_07153.nc 2019-03-01 14:39:57
s5p_l2_ch4_0017_07179.nc 2019-03-03 10:45:13
s5p_l2_ch4_0017_07180.nc 2019-03-03 12:26:43
s5p_l2_ch4_0017_07181.nc 2019-03-03 14:08:14
s5p_l2_ch4_0017_07193.nc 2019-03-04 10:26:17
s5p_l2_ch4_0017_07194.nc 2019-03-04 12:07:48
s5p_l2_ch4_0017_07195.nc 2019-03-04 13:49:18
s5p_l2_ch4_0017_07207.nc 2019-03-05 10:07:23
s5p_l2_ch4_0017_07208.nc 2019-03-05 11:48:53
s5p_l2_ch4_0017_07209.nc 2019-03-05 13:30:23
s5p_l2_ch4_0017_07222.nc 2019-03-06 11:29:58
s5p_l2_ch4_0017_07223.nc 2019-03-06 13:11:28
s5p_l2_ch4_0017_07224.nc 2019-03-06 14:52:58
s5p_l2_ch4_0017_07236.nc 2019-03-07 11:11:03
s5p_l2_ch4_0017_07237.nc 2019-03-07 12:52:34
s5p_l2_ch4_0017_07238.nc 2019-03-07 14:34:03
s5p_l2_ch4_0017_07250.nc 2019-03-08 10:52:08
s5p_l2_ch4_0017_07251.nc 2019-03-08 12:33:38
s5p_l2_ch4_0017_07252.nc 2019-03-08 14:15:08
s5p_l2_ch4_0017_07264.nc 2019-03-09 10:33:13
s5p_l2_ch4_0017_07265.nc 2019-03-09 12:14:43
s5p_l2_ch4_0017_07266.nc 2019-03-09 13:56:13
s5p_l2_ch4_0017_07278.nc 2019-03-10 10:14:17
s5p_l2_ch4_0017_07279.nc 2019-03-10 11:55:47
s5p_l2_ch4_0017_07280.nc 2019-03-10 13:37:18
s5p_l2_ch4_0017_07293.nc 2019-03-11 11:36:52
s5p_l2_ch4_0017_07294.nc 2019-03-11 13:18:23
s5p_l2_ch4_0017_07295.nc 2019-03-11 14:59:53
s5p_l2_ch4_0017_07307.nc 2019-03-12 11:17:58
s5p_l2_ch4_0017_07308.nc 2019-03-12 12:59:28
s5p_l2_ch4_0017_07309.nc 2019-03-12 14:40:58
s5p_l2_ch4_0017_07321.nc 2019-03-13 10:59:03
s5p_l2_ch4_0017_07322.nc 2019-03-13 12:40:33
s5p_l2_ch4_0017_07323.nc 2019-03-13 14:22:03
s5p_l2_ch4_0017_07335.nc 2019-03-14 10:40:08
s5p_l2_ch4_0017_07336.nc 2019-03-14 12:21:38
s5p_l2_ch4_0017_07337.nc 2019-03-14 14:03:08
s5p_l2_ch4_0017_07349.nc 2019-03-15 10:21:13
s5p_l2_ch4_0017_07350.nc 2019-03-15 12:02:43
s5p_l2_ch4_0017_07351.nc 2019-03-15 13:44:13
s5p_l2_ch4_0017_07364.nc 2019-03-16 11:43:48
s5p_l2_ch4_0017_07365.nc 2019-03-16 13:25:18
s5p_l2_ch4_0017_07378.nc 2019-03-17 11:18:46
s5p_l2_ch4_0017_07379.nc 2019-03-17 13:06:23
s5p_l2_ch4_0017_07380.nc 2019-03-17 14:47:54
s5p_l2_ch4_0017_07392.nc 2019-03-18 11:05:58
s5p_l2_ch4_0017_07393.nc 2019-03-18 12:41:21
s5p_l2_ch4_0017_07394.nc 2019-03-18 14:28:59
s5p_l2_ch4_0017_07406.nc 2019-03-19 10:47:02
s5p_l2_ch4_0017_07407.nc 2019-03-19 12:28:33
s5p_l2_ch4_0017_07408.nc 2019-03-19 14:03:57
s5p_l2_ch4_0017_07420.nc 2019-03-20 10:28:07
s5p_l2_ch4_0017_07421.nc 2019-03-20 12:09:38
s5p_l2_ch4_0017_07422.nc 2019-03-20 13:51:09
s5p_l2_ch4_0017_07434.nc 2019-03-21 10:09:13
s5p_l2_ch4_0017_07435.nc 2019-03-21 11:50:43
s5p_l2_ch4_0017_07436.nc 2019-03-21 13:32:14
s5p_l2_ch4_0017_07449.nc 2019-03-22 11:31:48
s5p_l2_ch4_0017_07450.nc 2019-03-22 13:13:19
s5p_l2_ch4_0017_07451.nc 2019-03-22 14:54:48
s5p_l2_ch4_0017_07463.nc 2019-03-23 11:12:53
s5p_l2_ch4_0017_07464.nc 2019-03-23 12:54:24
s5p_l2_ch4_0017_07465.nc 2019-03-23 14:35:53
s5p_l2_ch4_0017_07477.nc 2019-03-24 10:53:59
s5p_l2_ch4_0017_07478.nc 2019-03-24 12:35:29
s5p_l2_ch4_0017_07479.nc 2019-03-24 14:16:59
s5p_l2_ch4_0017_07491.nc 2019-03-25 10:35:03
s5p_l2_ch4_0017_07492.nc 2019-03-25 12:16:33
s5p_l2_ch4_0017_07493.nc 2019-03-25 13:58:04
s5p_l2_ch4_0017_07505.nc 2019-03-26 10:16:08
s5p_l2_ch4_0017_07506.nc 2019-03-26 11:57:38
s5p_l2_ch4_0017_07507.nc 2019-03-26 13:39:09
s5p_l2_ch4_0017_07520.nc 2019-03-27 11:38:44
s5p_l2_ch4_0017_07534.nc 2019-03-28 11:19:48
s5p_l2_ch4_0017_07535.nc 2019-03-28 13:01:19
s5p_l2_ch4_0017_07536.nc 2019-03-28 14:42:49
corrupted file!
s5p_l2_ch4_0017_07548.nc 2019-03-29 11:00:53
s5p_l2_ch4_0017_07549.nc 2019-03-29 12:42:24
s5p_l2_ch4_0017_07550.nc 2019-03-29 14:23:53
s5p_l2_ch4_0017_07562.nc 2019-03-30 10:41:58
s5p_l2_ch4_0017_07563.nc 2019-03-30 12:23:29
s5p_l2_ch4_0017_07564.nc 2019-03-30 14:04:59
s5p_l2_ch4_0017_07576.nc 2019-03-31 10:23:03
s5p_l2_ch4_0017_07577.nc 2019-03-31 12:04:33
s5p_l2_ch4_0017_07578.nc 2019-03-31 13:46:03
corrupted file!
