corrupted file!
s5p_l2_ch4_0017_03150.nc 2018-05-23 11:18:23
s5p_l2_ch4_0017_03151.nc 2018-05-23 12:59:53
s5p_l2_ch4_0017_03152.nc 2018-05-23 14:41:23
s5p_l2_ch4_0017_03178.nc 2018-05-25 10:34:16
s5p_l2_ch4_0017_03179.nc 2018-05-25 12:15:47
s5p_l2_ch4_0017_03180.nc 2018-05-25 14:03:23
s5p_l2_ch4_0017_03192.nc 2018-05-26 10:21:23
s5p_l2_ch4_0017_03193.nc 2018-05-26 11:56:46
s5p_l2_ch4_0017_03194.nc 2018-05-26 13:44:23
s5p_l2_ch4_0017_03206.nc 2018-05-27 10:02:23
s5p_l2_ch4_0017_03207.nc 2018-05-27 11:43:53
s5p_l2_ch4_0017_03208.nc 2018-05-27 13:19:16
s5p_l2_ch4_0017_03221.nc 2018-05-28 11:24:53
s5p_l2_ch4_0017_03222.nc 2018-05-28 13:06:23
s5p_l2_ch4_0017_03223.nc 2018-05-28 14:41:45
s5p_l2_ch4_0017_03235.nc 2018-05-29 11:05:52
s5p_l2_ch4_0017_03236.nc 2018-05-29 12:47:23
s5p_l2_ch4_0017_03237.nc 2018-05-29 14:28:52
s5p_l2_ch4_0017_03249.nc 2018-05-30 10:46:52
s5p_l2_ch4_0017_03250.nc 2018-05-30 12:28:21
s5p_l2_ch4_0017_03263.nc 2018-05-31 10:27:51
s5p_l2_ch4_0017_03264.nc 2018-05-31 12:09:21
s5p_l2_ch4_0017_03265.nc 2018-05-31 13:50:51
s5p_l2_ch4_0017_03277.nc 2018-06-01 10:08:51
s5p_l2_ch4_0017_03278.nc 2018-06-01 11:50:20
s5p_l2_ch4_0017_03279.nc 2018-06-01 13:31:50
s5p_l2_ch4_0017_03292.nc 2018-06-02 11:31:19
s5p_l2_ch4_0017_03293.nc 2018-06-02 13:12:48
s5p_l2_ch4_0017_03306.nc 2018-06-03 11:12:18
s5p_l2_ch4_0017_03307.nc 2018-06-03 12:53:48
s5p_l2_ch4_0017_03308.nc 2018-06-03 14:35:18
s5p_l2_ch4_0017_03320.nc 2018-06-04 10:53:17
s5p_l2_ch4_0017_03321.nc 2018-06-04 12:34:47
s5p_l2_ch4_0017_03322.nc 2018-06-04 14:16:17
s5p_l2_ch4_0017_03334.nc 2018-06-05 10:34:16
s5p_l2_ch4_0017_03335.nc 2018-06-05 12:15:46
s5p_l2_ch4_0017_03336.nc 2018-06-05 13:57:16
s5p_l2_ch4_0017_03348.nc 2018-06-06 10:15:14
s5p_l2_ch4_0017_03349.nc 2018-06-06 11:56:44
s5p_l2_ch4_0017_03350.nc 2018-06-06 13:38:14
corrupted file!
s5p_l2_ch4_0017_03363.nc 2018-06-07 11:37:43
s5p_l2_ch4_0017_03364.nc 2018-06-07 13:19:12
s5p_l2_ch4_0017_03377.nc 2018-06-08 11:18:41
s5p_l2_ch4_0017_03378.nc 2018-06-08 13:00:11
s5p_l2_ch4_0017_03379.nc 2018-06-08 14:35:33
corrupted file!
s5p_l2_ch4_0017_03391.nc 2018-06-09 10:59:39
s5p_l2_ch4_0017_03392.nc 2018-06-09 12:41:09
s5p_l2_ch4_0017_03393.nc 2018-06-09 14:22:39
s5p_l2_ch4_0017_03405.nc 2018-06-10 10:40:37
s5p_l2_ch4_0017_03406.nc 2018-06-10 12:22:07
s5p_l2_ch4_0017_03407.nc 2018-06-10 14:03:37
s5p_l2_ch4_0017_03419.nc 2018-06-11 10:21:35
s5p_l2_ch4_0017_03420.nc 2018-06-11 12:03:06
s5p_l2_ch4_0017_03421.nc 2018-06-11 13:44:35
s5p_l2_ch4_0017_03434.nc 2018-06-12 11:44:02
s5p_l2_ch4_0017_03435.nc 2018-06-12 13:25:33
corrupted file!
s5p_l2_ch4_0017_03448.nc 2018-06-13 11:18:54
s5p_l2_ch4_0017_03449.nc 2018-06-13 13:00:23
s5p_l2_ch4_0017_03450.nc 2018-06-13 14:48:00
s5p_l2_ch4_0017_03463.nc 2018-06-14 12:41:22
s5p_l2_ch4_0017_03464.nc 2018-06-14 14:28:59
s5p_l2_ch4_0017_03477.nc 2018-06-15 12:28:29
s5p_l2_ch4_0017_03490.nc 2018-06-16 10:27:58
s5p_l2_ch4_0017_03491.nc 2018-06-16 12:09:28
s5p_l2_ch4_0017_03492.nc 2018-06-16 13:50:58
s5p_l2_ch4_0017_03504.nc 2018-06-17 10:08:57
s5p_l2_ch4_0017_03505.nc 2018-06-17 11:50:26
s5p_l2_ch4_0017_03506.nc 2018-06-17 13:31:57
s5p_l2_ch4_0017_03519.nc 2018-06-18 11:31:23
s5p_l2_ch4_0017_03520.nc 2018-06-18 13:12:53
s5p_l2_ch4_0017_03521.nc 2018-06-18 14:54:23
s5p_l2_ch4_0017_03533.nc 2018-06-19 11:12:22
s5p_l2_ch4_0017_03534.nc 2018-06-19 12:53:52
s5p_l2_ch4_0017_03535.nc 2018-06-19 14:35:21
s5p_l2_ch4_0017_03547.nc 2018-06-20 10:53:20
s5p_l2_ch4_0017_03548.nc 2018-06-20 12:34:50
s5p_l2_ch4_0017_03549.nc 2018-06-20 14:16:20
s5p_l2_ch4_0017_03561.nc 2018-06-21 10:34:19
s5p_l2_ch4_0017_03562.nc 2018-06-21 12:15:49
s5p_l2_ch4_0017_03563.nc 2018-06-21 13:57:18
